Date,Amount
"2/10/2026","$125,270.83"
"2/8/2026","$125,082.03"
"2/7/2026","$125,082.03"
"2/6/2026","$125,082.03"
"2/5/2026","$122,466.39"
"2/4/2026","$123,256.09"
"2/3/2026","$121,956.01"
"2/2/2026","$121,397.95"
"2/1/2026","$120,558.98"
"1/31/2026","$120,558.98"
"1/30/2026","$120,558.98"
"1/29/2026","$120,957.89"
"1/28/2026","$120,184.64"
"1/27/2026","$120,541.51"
"1/26/2026","$120,410.99"
"1/25/2026","$120,091.06"
"1/24/2026","$120,091.06"
"1/23/2026","$120,091.06"
"1/22/2026","$120,864.81"
"1/21/2026","$120,475.51"
"1/20/2026","$119,008.24"
"1/19/2026","$120,776.44"
"1/18/2026","$120,776.44"
"1/17/2026","$120,776.44"
"1/16/2026","$120,776.44"
"1/15/2026","$120,925.22"
"1/14/2026","$119,700.48"
"1/13/2026","$119,766.83"
"1/12/2026","$120,299.70"
"1/11/2026","$120,070.66"
"1/10/2026","$120,070.66"
"1/9/2026","$120,070.66"
"1/8/2026","$119,021.64"
"1/7/2026","$117,972.78"
"1/6/2026","$119,066.28"
"1/5/2026","$118,191.59"
"1/4/2026","$116,706.87"
"1/3/2026","$116,706.87"
"1/2/2026","$116,706.87"
"1/1/2026","$115,769.52"
"12/31/2025","$115,769.52"
"12/30/2025","$116,371.72"
"12/29/2025","$116,602.06"
"12/28/2025","$116,702.34"
"12/27/2025","$116,702.34"
"12/26/2025","$116,702.34"
"12/25/2025","$116,903.09"
"12/24/2025","$116,903.09"
"12/23/2025","$116,555.76"
"12/22/2025","$116,315.53"
"12/21/2025","$115,790.27"
"12/20/2025","$115,790.27"
"12/19/2025","$115,790.27"
"12/18/2025","$115,047.80"
"12/17/2025","$114,862.83"
"12/16/2025","$115,382.29"
"12/15/2025","$116,573.85"
"12/14/2025","$115,933.25"
"12/13/2025","$115,933.25"
"12/12/2025","$115,933.25"
"12/11/2025","$116,200.36"
"12/10/2025","$114,314.99"
"12/9/2025","$112,932.42"
"12/8/2025","$113,119.01"
"12/7/2025","$113,474.10"
"12/6/2025","$113,474.10"
"12/5/2025","$113,474.10"
"12/4/2025","$113,408.90"
"12/3/2025","$113,155.44"
"12/2/2025","$112,350.54"
"12/1/2025","$112,370.65"
"11/30/2025","$112,635.40"
"11/29/2025","$112,635.40"
"11/28/2025","$112,635.40"
"11/27/2025","$112,088.87"
"11/26/2025","$112,088.87"
"11/25/2025","$110,993.44"
"11/24/2025","$108,995.35"
"11/23/2025","$108,725.59"
"11/22/2025","$108,725.59"
"11/21/2025","$108,725.59"
"11/20/2025","$106,504.21"
"11/19/2025","$107,588.83"
"11/18/2025","$107,833.86"
"11/17/2025","$108,249.71"
"11/16/2025","$110,202.10"
"11/15/2025","$110,202.10"
"11/14/2025","$110,202.10"
"11/13/2025","$110,351.88"
"11/12/2025","$111,204.64"
"11/11/2025","$110,247.60"
"11/10/2025","$109,847.53"
"11/9/2025","$109,510.94"
"11/8/2025","$109,510.94"
"11/7/2025","$109,510.94"
"11/6/2025","$108,573.75"
"11/5/2025","$108,869.33"
"11/4/2025","$107,493.96"
"11/3/2025","$107,630.14"
"11/2/2025","$107,875.76"
"11/1/2025","$107,875.76"
"10/31/2025","$107,875.76"
"10/30/2025","$108,160.90"
"10/29/2025","$107,831.95"
"10/28/2025","$109,350.68"
"10/27/2025","$109,673.92"
"10/26/2025","$109,135.18"
"10/25/2025","$109,135.18"
"10/24/2025","$109,135.18"
"10/23/2025","$108,627.78"
"10/22/2025","$108,460.31"
"10/21/2025","$109,001.26"
"10/20/2025","$108,665.02"
"10/19/2025","$108,145.41"
"10/18/2025","$108,145.41"
"10/17/2025","$108,145.41"
"10/16/2025","$107,856.34"
"10/15/2025","$108,901.81"
"10/14/2025","$108,863.64"
"10/13/2025","$107,554.99"
"10/12/2025","$106,395.92"
"10/11/2025","$106,395.92"
"10/10/2025","$106,395.92"
"10/9/2025","$108,355.71"
"10/8/2025","$109,538.37"
"10/7/2025","$109,625.11"
"10/6/2025","$110,566.48"
"10/5/2025","$111,002.91"
"10/4/2025","$111,002.91"
"10/3/2025","$111,002.91"
"10/2/2025","$110,295.79"
"10/1/2025","$110,089.22"
"9/30/2025","$110,308.37"
"9/29/2025","$110,101.50"
"9/28/2025","$110,133.76"
"9/27/2025","$110,133.76"
"9/26/2025","$110,133.76"
"9/25/2025","$108,855.45"
"9/24/2025","$109,876.01"
"9/23/2025","$110,109.53"
"9/22/2025","$110,073.66"
"9/21/2025","$110,218.52"
"9/20/2025","$110,218.52"
"9/19/2025","$110,218.52"
"9/18/2025","$110,262.60"
"9/17/2025","$109,620.71"
"9/16/2025","$109,565.33"
"9/15/2025","$109,887.16"
"9/14/2025","$109,976.82"
"9/13/2025","$109,976.82"
"9/12/2025","$109,976.82"
"9/11/2025","$110,707.90"
"9/10/2025","$109,368.66"
"9/9/2025","$109,791.76"
"9/8/2025","$109,996.70"
"9/7/2025","$109,619.68"
"9/6/2025","$109,619.68"
"9/5/2025","$109,619.68"
"9/4/2025","$109,665.66"
"9/3/2025","$108,510.34"
"9/2/2025","$108,438.00"
"9/1/2025","$108,765.99"
"8/31/2025","$108,765.99"
"8/30/2025","$108,765.99"
"8/29/2025","$108,765.99"
"8/28/2025","$109,047.71"
"8/27/2025","$108,813.36"
"8/26/2025","$108,441.01"
"8/25/2025","$108,038.79"
"8/24/2025","$108,811.68"
"8/23/2025","$108,811.68"
"8/22/2025","$108,811.68"
"8/21/2025","$106,607.44"
"8/20/2025","$107,121.42"
"8/19/2025","$107,126.95"
"8/18/2025","$106,619.09"
"8/17/2025","$106,673.06"
"8/16/2025","$106,673.06"
"8/15/2025","$106,673.06"
"8/14/2025","$106,824.30"
"8/13/2025","$107,581.82"
"8/12/2025","$106,539.31"
"8/11/2025","$104,859.92"
"8/10/2025","$105,218.74"
"8/9/2025","$105,218.74"
"8/8/2025","$105,218.74"
"8/7/2025","$104,667.09"
"8/6/2025","$105,013.71"
"8/5/2025","$104,385.20"
"8/4/2025","$103,776.17"
"8/3/2025","$101,986.59"
"8/2/2025","$101,986.59"
"8/1/2025","$101,986.59"
"7/31/2025","$103,043.52"
"7/30/2025","$103,105.54"
"7/29/2025","$104,091.58"
"7/28/2025","$104,434.41"
"7/27/2025","$105,147.00"
"7/26/2025","$105,147.00"
"7/25/2025","$105,147.00"
"7/24/2025","$105,021.02"
"7/23/2025","$105,751.06"
"7/22/2025","$103,964.04"
"7/21/2025","$102,483.23"
"7/20/2025","$102,346.52"
"7/19/2025","$102,346.52"
"7/18/2025","$102,346.52"
"7/17/2025","$102,602.58"
"7/16/2025","$101,921.26"
"7/15/2025","$101,704.25"
"7/14/2025","$103,606.61"
"7/13/2025","$103,052.57"
"7/12/2025","$103,052.57"
"7/11/2025","$103,052.57"
"7/10/2025","$103,747.21"
"7/9/2025","$103,241.99"
"7/8/2025","$102,516.88"
"7/7/2025","$102,453.17"
"7/6/2025","$103,233.23"
"7/5/2025","$103,233.23"
"7/4/2025","$103,233.23"
"7/3/2025","$103,233.23"
"7/2/2025","$102,556.39"
"7/1/2025","$102,109.74"
"6/30/2025","$101,177.38"
"6/29/2025","$100,695.49"
"6/28/2025","$100,695.49"
"6/27/2025","$100,695.49"
"6/26/2025","$99,733.72"
"6/25/2025","$98,358.03"
"6/24/2025","$99,206.59"
"6/23/2025","$98,511.73"
"6/22/2025","$97,490.43"
"6/21/2025","$97,490.43"
"6/20/2025","$97,490.43"
"6/19/2025","$96,909.58"
"6/18/2025","$96,909.58"
"6/17/2025","$96,394.89"
"6/16/2025","$97,645.55"
"6/15/2025","$96,417.01"
"6/14/2025","$96,417.01"
"6/13/2025","$96,417.01"
"6/12/2025","$97,855.83"
"6/11/2025","$97,697.70"
"6/10/2025","$97,791.76"
"6/9/2025","$97,553.98"
"6/8/2025","$97,477.42"
"6/7/2025","$97,477.42"
"6/6/2025","$97,477.42"
"6/5/2025","$96,668.74"
"6/4/2025","$96,653.29"
"6/3/2025","$96,932.11"
"6/2/2025","$96,716.03"
"6/1/2025","$96,591.18"
"5/31/2025","$96,591.18"
"5/30/2025","$96,591.18"
"5/29/2025","$96,581.65"
"5/28/2025","$96,242.95"
"5/27/2025","$96,894.02"
"5/26/2025","$95,652.21"
"5/25/2025","$95,652.21"
"5/24/2025","$95,652.21"
"5/23/2025","$95,652.21"
"5/22/2025","$95,936.39"
"5/21/2025","$96,204.98"
"5/20/2025","$97,903.19"
"5/19/2025","$98,106.26"
"5/18/2025","$98,028.29"
