Date,Amount
2017/7/31,26195.95
2017/8/31,26351.44
2017/9/30,27311.98
2017/10/31,27327.96
2017/11/30,29513.81
2017/12/31,29855.88
2018/1/31,30481.91
2018/2/28,29096.53
2018/3/31,28046.12
2018/4/30,27566.76
2018/5/31,27267.84
2018/6/30,27756.67
2018/7/31,27797.95
2018/8/31,27685.47
2018/9/30,27724.54
2018/10/31,27331.95
2018/11/30,27689.04
2018/12/31,26649.01
2019/1/31,27733.27
2019/2/28,27816.41
2019/3/31,28370.55
2019/4/30,29424.37
2019/5/31,28146.23
2019/6/30,29124.6
2019/7/31,29665.66
2019/8/31,28998.81
2019/9/30,29911.45
2019/10/31,30358.07
2019/11/30,31148.89
2019/12/31,31391.45
2020/1/31,29985.72
2020/2/29,28438.72
2020/3/31,24325.61
2020/4/30,26671.09
2020/5/31,28157.16
2020/6/30,38292
2020/7/31,39159.55
2020/8/31,41446.16
2020/9/30,40524.77
2020/10/31,39251.64
2020/11/30,46748.65
2020/12/31,49282.8
2021/1/31,49285.05
2021/2/28,54577.36
2021/3/31,58753.95
2021/4/30,59971.4
2021/5/31,61524.31
2021/6/30,60740.58
2021/7/31,60167.09
2021/8/31,60207.46
2021/9/30,60424.38
2021/10/31,60832.56
2021/11/30,58798.72
2021/12/31,62095.75
2022/1/31,62088.1
2022/2/28,61602.08
2022/3/31,73619.98
2022/4/30,70158.42
2022/5/31,71124.84
2022/6/30,64951.14
2022/7/31,68173.37
2022/8/31,65262.23
2022/9/30,58710.57
2022/10/31,66101.26
2022/11/30,70634.66
2022/12/31,67751.52
2023/1/31,74114.03
2023/2/28,73056.73
2023/3/31,70814.06
2023/4/30,72340.16
2023/5/6,69946.97
2023/5/7,69946.97
2023/5/8,71294.03
2023/5/9,71311.32
2023/5/10,71142.9
2023/5/11,70733.5
2023/5/12,70753.45
2023/5/13,70753.45
2023/5/14,70753.45
2023/5/15,70263.22
2023/5/16,70903.47
2023/5/17,70116.19
2023/5/18,71287.11
2023/5/19,71290.03
2023/5/20,71290.03
2023/5/21,71290.03
2023/5/22,71109.01
2023/5/23,71255.41
2023/5/24,70434.94
2023/5/25,69365.55
2023/5/26,69379.79
2023/5/27,69379.79
2023/5/28,69379.79
2023/5/29,69379.79
2023/5/30,70222.52
2023/5/31,70134.88
2023/6/1,68916.89
2023/6/2,69572.71
2023/6/3,69572.71
2023/6/4,69572.71
2023/6/5,71287.64
2023/6/6,70546.6
2023/6/7,71265.69
2023/6/8,71877.21
2023/6/9,72213.52
2023/6/10,72213.52
2023/6/11,72213.52
2023/6/12,72078.1
2023/6/13,72756.13
2023/6/14,73599.34
2023/6/15,73294.16
2023/6/16,74133.96
2023/6/17,74133.96
2023/6/18,74133.96
2023/6/19,74133.96
2023/6/20,74160.63
2023/6/21,73480.39
2023/6/22,73643.26
2023/6/23,73125.43
2023/6/24,73125.43
2023/6/25,73125.43
2023/6/26,72521.37
2023/6/27,72846.48
2023/6/28,73655.87
2023/6/29,73891.16
2023/6/30,74282.45
2023/7/1,74282.45
2023/7/2,74282.45
2023/7/3,75184.94
2023/7/4,75184.94
2023/7/5,75682.72
2023/7/6,75131.02
2023/7/7,74487.85
2023/7/8,74487.85
2023/7/9,74487.85
2023/7/10,74826.28
2023/7/11,75075.68
2023/7/12,75909.99
