日期,DAWHO,已投資資本（自首筆交易以來）,Delta（自首筆交易以來）
2022-04-25,"9,435.25","9,424.00",11.25
2022-04-26,"9,435.25","9,424.00",11.25
2022-04-27,"9,238.15","9,424.00",-185.85
2022-04-28,"9,278.30","9,424.00",-145.70
2022-04-29,"9,398.75","9,424.00",-25.25
2022-04-30,"9,398.75","9,424.00",-25.25
2022-05-01,"9,398.75","9,424.00",-25.25
2022-05-02,"9,398.75","9,424.00",-25.25
2022-05-03,"9,329.40","9,424.00",-94.60
2022-05-04,"9,329.40","9,424.00",-94.60
2022-05-05,"9,435.25","9,424.00",11.25
2022-05-06,"9,245.45","9,424.00",-178.55
2022-05-07,"9,245.45","9,424.00",-178.55
2022-05-08,"9,245.45","9,424.00",-178.55
2022-05-09,"18,557.95","18,907.00",-349.05
2022-05-10,"18,476.00","18,907.00",-431.00
2022-05-11,"18,505.80","18,907.00",-401.20
2022-05-12,"18,066.25","18,907.00",-840.75
2022-05-13,"18,230.15","18,907.00",-676.85
2022-05-14,"18,230.15","18,907.00",-676.85
2022-05-15,"18,230.15","18,907.00",-676.85
2022-05-16,"18,327.00","18,907.00",-580.00
2022-05-17,"18,528.15","18,907.00",-378.85
2022-05-18,"18,729.30","18,907.00",-177.70
2022-05-19,"18,371.70","18,907.00",-535.30
2022-05-20,"18,572.85","18,907.00",-334.15
2022-05-21,"18,572.85","18,907.00",-334.15
2022-05-22,"18,572.85","18,907.00",-334.15
2022-05-23,"18,610.10","18,907.00",-296.90
2022-05-24,"18,401.50","18,907.00",-505.50
2022-05-25,"18,543.05","18,907.00",-363.95
2022-05-26,"18,312.10","18,907.00",-594.90
2022-05-27,"18,699.50","18,907.00",-207.50
2022-05-28,"18,699.50","18,907.00",-207.50
2022-05-29,"18,699.50","18,907.00",-207.50
2022-05-30,"19,153.95","18,907.00",246.95
2022-05-31,"19,340.20","18,907.00",433.20
2022-06-01,"19,243.35","18,907.00",336.35
2022-06-02,"19,042.20","18,907.00",135.20
2022-06-03,"19,042.20","18,907.00",135.20
2022-06-04,"19,042.20","18,907.00",135.20
2022-06-05,"19,042.20","18,907.00",135.20
2022-06-06,"19,176.30","18,907.00",269.30
2022-06-07,"18,982.60","18,907.00",75.60
2022-06-08,"19,191.20","18,907.00",284.20
2022-06-09,"28,761.60","28,533.00",228.60
2022-06-10,"28,470.40","28,533.00",-62.60
2022-06-11,"28,470.40","28,533.00",-62.60
2022-06-12,"28,470.40","28,533.00",-62.60
2022-06-13,"27,675.20","28,533.00",-857.80
2022-06-14,"27,630.40","28,533.00",-902.60
2022-06-15,"27,496.00","28,533.00","-1,037.00"
2022-06-16,"27,440.00","28,533.00","-1,093.00"
2022-06-17,"27,070.40","28,533.00","-1,462.60"
2022-06-18,"27,070.40","28,533.00","-1,462.60"
2022-06-19,"27,070.40","28,533.00","-1,462.60"
2022-06-20,"26,824.00","28,533.00","-1,709.00"
2022-06-21,"27,372.80","28,533.00","-1,160.20"
2022-06-22,"26,768.00","28,533.00","-1,765.00"
2022-06-23,"26,409.60","28,533.00","-2,123.40"
2022-06-24,"26,465.60","28,533.00","-2,067.40"
2022-06-25,"26,465.60","28,533.00","-2,067.40"
2022-06-26,"26,465.60","28,533.00","-2,067.40"
2022-06-27,"27,092.80","28,533.00","-1,440.20"
2022-06-28,"26,835.20","28,533.00","-1,697.80"
2022-06-29,"26,611.20","28,533.00","-1,921.80"
2022-06-30,"25,939.20","28,533.00","-2,593.80"
2022-07-01,"24,987.20","28,533.00","-3,545.80"
2022-07-02,"24,987.20","28,533.00","-3,545.80"
2022-07-03,"24,987.20","28,533.00","-3,545.80"
2022-07-04,"24,740.80","28,533.00","-3,792.20"
2022-07-05,"24,864.00","28,533.00","-3,669.00"
2022-07-06,"24,382.40","28,533.00","-4,150.60"
2022-07-07,"25,110.40","28,533.00","-3,422.60"
2022-07-08,"25,368.00","28,533.00","-3,165.00"
2022-07-09,"25,368.00","28,533.00","-3,165.00"
2022-07-10,"25,368.00","28,533.00","-3,165.00"
2022-07-11,"34,685.25","38,111.00","-3,425.75"
2022-07-12,"33,850.95","38,111.00","-4,260.05"
2022-07-13,"35,056.05","38,111.00","-3,054.95"
2022-07-14,"35,226.00","38,111.00","-2,885.00"
2022-07-15,"35,689.50","38,111.00","-2,421.50"
2022-07-16,"35,689.50","38,111.00","-2,421.50"
2022-07-17,"35,689.50","38,111.00","-2,421.50"
2022-07-18,"35,287.80","37,565.00","-2,277.20"
2022-07-19,"35,318.70","37,565.00","-2,246.30"
2022-07-20,"35,550.45","37,565.00","-2,014.55"
2022-07-21,"35,952.15","37,565.00","-1,612.85"
2022-07-22,"36,091.20","37,565.00","-1,473.80"
2022-07-23,"36,091.20","37,565.00","-1,473.80"
2022-07-24,"36,091.20","37,565.00","-1,473.80"
2022-07-25,"36,060.30","37,565.00","-1,504.70"
2022-07-26,"35,735.85","37,565.00","-1,829.15"
2022-07-27,"36,060.30","37,565.00","-1,504.70"
2022-07-28,"36,122.10","37,565.00","-1,442.90"
