"Positions for account Joint Tenant ...782 as of 09:24 PM ET, 2026/02/09"

"Symbol","Description","Qty (Quantity)","Price","Mkt Val (Market Value)","Cost/Share","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","% of Acct (% of Account)","Last Div (Last Dividend)","Security Type",
"ACGL","ARCH CAPITAL GROUP LTD F","12","96.06","$1,152.72","$88.00","$1,056.00","$96.72","9.16%","0.92%","N/A","Equity",
"ACHC","ACADIA HEALTHCARE CO INC","52","13.49","$701.48","$32.50","$1,690.00","-$988.52","-58.49%","0.56%","N/A","Equity",
"AFG","AMERICAN FINL GROUP INC","15","129.64","$1,944.60","$65.73","$986.00","$958.60","97.22%","1.55%","0.88","Equity",
"AGCO","AGCO CORP DEL","20","133.56","$2,671.20","$97.85","$1,957.00","$714.20","36.49%","2.13%","0.29","Equity",
"AGO","ASSURED GUARANTY LTD F","41","85.65","$3,511.65","$49.15","$2,014.95","$1,496.70","74.28%","2.8%","0.34","Equity",
"ALIZY","ALLIANZ SE FUNSPONSORED ADR 1 ADR REPS 0.1 ORD SHS","70","46.03","$3,222.10","$21.02","$1,471.30","$1,750.80","119%","2.57%","1.1765","Equity",
"AZO","AUTOZONE INC","2","3,634.29","$7,268.58","$500.83","$1,001.65","$6,266.93","625.66%","5.81%","N/A","Equity",
"BA","BOEING CO","20","244.71","$4,894.20","$132.08","$2,641.62","$2,252.58","85.27%","3.91%","N/A","Equity",
"BAC","BANK OF AMERICA CORP","38","56.41","$2,143.58","$27.00","$1,026.00","$1,117.58","108.93%","1.71%","0.28","Equity",
"BAYRY","BAYER A G FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","70","13.77","$963.90","$14.14","$990.06","-$26.16","-2.64%","0.77%","0.0229","Equity",
"BNPQY","BNP PARIBAS FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","33","56.26","$1,856.58","$29.44","$971.46","$885.12","91.11%","1.48%","1.2573","Equity",
"BRK/B","BERKSHIRE HATHAWAY CLASS B","8","498.08","$3,984.64","$370.88","$2,967.00","$1,017.64","34.3%","3.18%","N/A","Equity",
"C","CITIGROUP INC","19","123.77","$2,351.63","$52.44","$996.36","$1,355.27","136.02%","1.88%","0.60","Equity",
"CJPRY","CENTRAL JAPAN RY CO FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","75","15.22","$1,141.50","$14.25","$1,069.05","$72.45","6.78%","0.91%","N/A","Equity",
"CNA","CNA FINL CORP","10","49.13","$491.30","$38.00","$380.00","$111.30","29.29%","0.39%","0.46","Equity",
"CPYYY","CENTRICA PLC FSPONSORED ADR 1 ADR REPS 4 ORD SHS","210","10.6672","$2,240.11","$3.06","$643.20","$1,596.91","248.28%","1.79%","0.0862","Equity",
"CUK","CARNIVAL PLC EQUITY AD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","54","32.57","$1,758.78","$17.56","$948.40","$810.38","85.45%","1.4%","0.15","Equity",
"DAL","DELTA AIR LINES INC DEL","29","75.00","$2,175.00","$33.07","$959.00","$1,216.00","126.8%","1.74%","0.1875","Equity",
"DNKEY","DEN DANSKE BANK AKTIES FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","56","27.44","$1,536.64","$7.85","$439.37","$1,097.27","249.74%","1.23%","0.7554","Equity",
"EJPRY","EAST JAPAN RY CO FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","140","12.608","$1,765.12","$10.87","$1,521.19","$243.93","16.04%","1.41%","N/A","Equity",
"ELUXY","AKTIEBOLAGET ELECTROLU FSPONSORED ADR 1 ADR REPS 2 ORD SHS","23","18.95","$435.85","$33.51","$770.77","-$334.92","-43.45%","0.35%","N/A","Equity",
"ENR","ENERGIZER HLDGS INC NEW","42","22.56","$947.52","$35.57","$1,494.00","-$546.48","-36.58%","0.76%","0.30","Equity",
"FG","F&G ANNUITIES & LIFE INC","1","27.87","$27.87","$30.90","$30.90","-$3.03","-9.81%","0.02%","0.25","Equity",
"FNF","FNF GROUP CLASS CLASS A","24","56.27","$1,350.48","$42.00","$1,008.00","$342.48","33.98%","1.08%","0.52","Equity",
"GS","GOLDMAN SACHS GROUP INC","5","943.62","$4,718.10","$393.00","$1,965.00","$2,753.10","140.11%","3.77%","4.50","Equity",
"ITOCY","ITOCHU CORP F","260","13.405","$3,485.30","$7.67","$1,994.74","$1,490.56","74.72%","2.78%","N/A","Equity",
"KR","KROGER CO","40","70.10","$2,804.00","$24.12","$964.95","$1,839.05","190.59%","2.24%","0.35","Equity",
"LEG","LEGGETT & PLATT INC","210","12.65","$2,656.50","$9.50","$1,995.00","$661.50","33.16%","2.12%","0.05","Equity",
"LNC","LINCOLN NATL CORP IND","16","39.69","$635.04","$65.00","$1,040.00","-$404.96","-38.94%","0.51%","0.45","Equity",
"MARUY","MARUBENI CORP F","20","387.30","$7,746.00","$95.42","$1,908.36","$5,837.64","305.9%","6.19%","N/A","Equity",
"MD","PEDIATRIX MEDICAL GR","36","20.89","$752.04","$21.30","$766.80","-$14.76","-1.92%","0.6%","N/A","Equity",
"MFC","MANULIFE FINL CORP F","56","38.00","$2,128.00","$18.00","$1,008.00","$1,120.00","111.11%","1.7%","0.3118","Equity",
"MGA","MAGNA INTL INC F","20","54.44","$1,088.80","$48.11","$962.15","$126.65","13.16%","0.87%","0.485","Equity",
"MITSY","MITSUI & CO LTD FSPONSORED ADR 1 ADR REPS 20 ORD SHS","5","695.48","$3,477.40","$381.28","$1,906.40","$1,571.00","82.41%","2.78%","N/A","Equity",
