日期,類型,金額,結餘,證券,股票代號,股數,每股,費用,稅款,對銷賬戶,備註
2026-02-02 00:00:00,股息,8.35,"13,744.88",AT&T Inc.,T,43,0.28,,3.58,,
2026-02-02 00:00:00,股息,5.04,"13,736.53",Lincoln National Co,LNC,16,0.45,,2.16,,
2026-01-30 00:00:00,股息,5.62,"13,731.49",TC Energy Corporation,TRP,12,0.62,,1.88,,
2026-01-29 00:00:00,賣出,"2,610.00","13,725.87",Huntington Ingalls Industries Inc,HII,6,435.00,,,Charles Schwab,
2026-01-27 00:00:00,股息,9.24,"11,115.87","American Financial Group, Inc.",AFG,15,0.88,,3.96,,
2026-01-23 00:00:00,股息,1.75,"11,106.63","Toll Brothers, Inc.",TOL,10,0.25,,0.75,,
2026-01-15 00:00:00,賣出,500.00,"11,104.88",Intel Corp.,INTC,10,50.00,,,Charles Schwab,
2026-01-15 00:00:00,股息,7.35,"10,604.88","Leggett & Platt, Incorporated",LEG,210,0.05,,3.15,,
2026-01-15 00:00:00,費用,-5.20,"10,597.53",Itochu Corp,ITOCY,,,,,,ADR管理費
2026-01-15 00:00:00,股息,0.75,"10,602.73",South Bow Corporation,SOBO,2,0.50,,0.25,,
2026-01-13 00:00:00,股息,13.28,"10,601.98",F&G Annuities & Life,FG,1,13.28,,,,Cash In Lieu
2026-01-06 00:00:00,股息,3.46,"10,588.70","PulteGroup, Inc.",PHM,19,0.26,,1.48,,
2026-01-05 00:00:00,賣出,"3,100.00","10,585.24","Caterpillar, Inc.",CAT,5,620.00,,,Charles Schwab,賣出理由：GDP高點減碼 賣掉接近貴價1%
2025-12-31 00:00:00,股息,8.74,"7,485.24",Fidelity National Financial Inc.,FNF,24,0.52,,3.74,,
2025-12-30 00:00:00,股息,14.00,"7,476.50",Goldman Sachs Group Inc,GS,5,4.00,,6.00,,
2025-12-30 00:00:00,利息,0.11,"7,462.50",,,,,,0.04,,
2025-12-26 00:00:00,股息,7.45,"7,462.39",Bank of America Corp,BAC,38,0.28,,3.19,,
2025-12-23 00:00:00,賣出,"3,120.00","7,454.94","Tapestry, Inc.",TPR,24,130.00,,,Charles Schwab,賣出理由：減碼 賣掉接近貴價3% 設長單成交
2025-12-22 00:00:00,股息,6.72,"4,334.94","Tapestry, Inc.",TPR,24,0.40,,2.88,,
2025-12-19 00:00:00,股息,13.40,"4,328.22",Manulife Financial Corp.,MFC,56,0.32,,4.47,,
2025-12-17 00:00:00,股息,26.09,"4,314.82",Itochu Corp,ITOCY,260,0.13,2.08,5.10,,
2025-12-16 00:00:00,股息,2.73,"4,288.73",Central Japan Railway,CJPRY,75,0.05,0.54,0.59,,
2025-12-15 00:00:00,股息,53.41,"4,286.00",Marubeni Corp,MARUY,20,3.22,1.12,9.86,,
2025-12-15 00:00:00,股息,11.19,"4,232.59",East Japan Railway,EJPRY,140,0.11,2.21,2.42,,
2025-12-15 00:00:00,股息,10.35,"4,221.40",Tyson Foods Inc,TSN,29,0.51,,4.44,,
2025-12-15 00:00:00,股息,9.80,"4,211.05",The Wendy's Company,WEN,100,0.14,,4.20,,
2025-12-15 00:00:00,股息,4.06,"4,201.25",AGCO Corporation,AGCO,20,0.29,,1.74,,
2025-12-12 00:00:00,股息,7.15,"4,197.19",3M Co.,MMM,14,0.73,,3.07,,
2025-12-12 00:00:00,股息,5.80,"4,190.04",Huntington Ingalls Industries Inc,HII,6,1.38,,2.48,,
2025-12-11 00:00:00,股息,8.50,"4,184.24","Prudential Financial, Inc",PRU,9,1.35,,3.65,,
2025-12-10 00:00:00,股息,8.82,"4,175.74",Energizer Holdings Inc,ENR,42,0.30,,3.78,,
2025-12-09 00:00:00,股息,142.21,"4,166.92",Boeing Company,BA,,,,,,Cash In Lieu 0.7075股*$201=142.21 成本$72.38  +$69.83
2025-12-09 00:00:00,股息,29.81,"4,024.71","Mitsui & Co., Ltd.",MITSY,5,7.05,0.03,5.40,,
2025-12-09 00:00:00,費用,-1.65,"3,994.90",Danske Bank,DNKEY,,,,,,ADR管理費
2025-12-08 00:00:00,股息,33.79,"3,996.55",Sumitomo Corp,SSUMY,95,0.45,2.47,6.56,,
2025-12-05 00:00:00,股息,6.47,"3,962.76",Scotts Miracle-Gro Company,SMG,14,0.66,,2.77,,
2025-12-04 00:00:00,股息,3.22,"3,956.29",CNA Financial Corporation,CNA,10,0.46,,1.38,,
2025-12-03 00:00:00,股息,13.94,"3,953.07",Assured Guaranty Ltd.,AGO,41,0.34,,,,
2025-12-01 00:00:00,股息,17.16,"3,939.13",PFIZER INC,PFE,57,0.43,,7.35,,
2025-12-01 00:00:00,股息,9.80,"3,921.97",Kroger Co.,KR,40,0.35,,4.20,,
2025-12-01 00:00:00,股息,6.30,"3,912.17",Wells Fargo & Co,WFC,20,0.45,,2.70,,
2025-11-28 00:00:00,股息,7.27,"3,905.87",Magna Intl Inc.,MGA,20,0.48,,2.43,,
2025-11-26 00:00:00,股息,21.00,"3,898.60","American Financial Group, Inc.",AFG,15,2.00,,9.00,,Special 股息
2025-11-26 00:00:00,股息,7.98,"3,877.60","Citigroup, Inc.",C,19,0.60,,3.42,,
2025-11-26 00:00:00,利息,0.07,"3,869.62",,,,,,0.02,,
2025-11-21 00:00:00,股息,14.74,"3,869.55",SiriusXM Holdings Inc.,SIRI,78,0.27,,6.32,,
2025-11-20 00:00:00,股息,5.28,"3,854.81","Caterpillar, Inc.",CAT,5,1.51,,2.27,,
2025-11-17 00:00:00,股息,9.87,"3,849.53",Synchrony Financial,SYF,47,0.30,,4.23,,
2025-11-14 00:00:00,賣出,"1,800.00","3,839.66","Invesco QQQ Trust, Series 1",QQQ,3,600.00,,,Charles Schwab,GDP高點 快速減碼持股比例
2025-11-14 00:00:00,股息,7.00,"2,039.66",Morgan Stanley,MS,10,1.00,,3.00,,
2025-11-10 00:00:00,股息,18.11,"2,032.66",Centrica plc,CPYYY,210,0.10,2.10,,,
2025-11-06 00:00:00,股息,3.81,"2,014.55",Delta Air Lines Inc,DAL,29,0.19,,1.63,,
2025-11-04 00:00:00,賣出,"1,755.00","2,010.74","Cardinal Health, Inc.",CAH,9,195.00,,,Charles Schwab,賣出理由：接近貴價1%
2025-11-03 00:00:00,股息,8.35,255.74,AT&T Inc.,T,43,0.28,,3.58,,
2025-11-03 00:00:00,股息,5.04,247.39,Lincoln National Co,LNC,16,0.45,,2.16,,
2025-10-31 00:00:00,股息,5.45,242.35,TC Energy Corporation,TRP,12,0.61,,1.82,,
2025-10-31 00:00:00,股息,1.46,236.90,"Invesco QQQ Trust, Series 1",QQQ,3,0.69,,0.62,,
2025-10-29 00:00:00,股息,36.88,235.44,BNP PARIBAS ADR EACH REPR 1/2 O,BNPQY,33,1.52,0.66,12.52,,
2025-10-27 00:00:00,買入,-800.00,198.56,Molina Healthcare Inc,MOH,5,160.00,,,Charles Schwab,
2025-10-24 00:00:00,股息,9.24,998.56,"American Financial Group, Inc.",AFG,15,0.88,,3.96,,
2025-10-24 00:00:00,股息,1.75,989.32,"Toll Brothers, Inc.",TOL,10,0.25,,0.75,,
2025-10-15 00:00:00,股息,7.35,987.57,"Leggett & Platt, Incorporated",LEG,210,0.05,,3.15,,
2025-10-15 00:00:00,股息,3.22,980.22,"Cardinal Health, Inc.",CAH,9,0.51,,1.38,,
2025-10-15 00:00:00,股息,0.75,977.00,South Bow Corporation,SOBO,2,0.50,,0.25,,
2025-10-09 00:00:00,費用,-0.28,976.25,BAYER AG SPON ADR EACH REP 0.25,BAYRY,,,,,,ADR管理費
2025-10-02 00:00:00,股息,2.93,976.53,"PulteGroup, Inc.",PHM,19,0.22,,1.25,,
2025-09-30 00:00:00,股息,8.40,973.60,Fidelity National Financial Inc.,FNF,24,0.50,,3.60,,
2025-09-29 00:00:00,股息,14.00,965.20,Goldman Sachs Group Inc,GS,5,4.00,,6.00,,
2025-09-26 00:00:00,股息,7.45,951.20,Bank of America Corp,BAC,38,0.28,,3.19,,
2025-09-23 00:00:00,買入,"-1,056.00",943.75,Arch Capital Group Ltd.,ACGL,12,88.00,,,Charles Schwab,
2025-09-22 00:00:00,股息,6.72,"1,999.75","Tapestry, Inc.",TPR,24,0.40,,2.88,,
2025-09-19 00:00:00,股息,13.41,"1,993.03",Manulife Financial Corp.,MFC,56,0.32,,4.47,,
2025-09-15 00:00:00,股息,4.06,"1,979.62",AGCO Corporation,AGCO,20,0.29,,1.74,,
2025-09-12 00:00:00,股息,10.15,"1,975.56",Tyson Foods Inc,TSN,29,0.50,,4.35,,
2025-09-12 00:00:00,股息,7.15,"1,965.41",3M Co.,MMM,14,0.73,,3.07,,
2025-09-12 00:00:00,股息,5.67,"1,958.26",Huntington Ingalls Industries Inc,HII,6,1.35,,2.43,,
2025-09-11 00:00:00,股息,8.50,"1,952.59","Prudential Financial, Inc",PRU,9,1.35,,3.65,,
2025-09-10 00:00:00,股息,8.82,"1,944.09",Energizer Holdings Inc,ENR,42,0.30,,3.78,,
2025-09-05 00:00:00,股息,6.47,"1,935.27",Scotts Miracle-Gro Company,SMG,14,0.66,,2.77,,
2025-09-04 00:00:00,股息,3.22,"1,928.80",CNA Financial Corporation,CNA,10,0.46,,1.38,,
2025-09-03 00:00:00,買入,"-1,000.00","1,925.58",The Wendy's Company,WEN,100,10.00,,,Charles Schwab,
2025-09-03 00:00:00,股息,13.94,"2,925.58",Assured Guaranty Ltd.,AGO,41,0.34,,,,
2025-09-02 00:00:00,股息,17.16,"2,911.64",PFIZER INC,PFE,57,0.43,,7.35,,
2025-09-02 00:00:00,股息,9.80,"2,894.48",Kroger Co.,KR,40,0.35,,4.20,,
2025-09-02 00:00:00,股息,6.30,"2,884.68",Wells Fargo & Co,WFC,20,0.45,,2.70,,
2025-08-29 00:00:00,股息,7.27,"2,878.38",Magna Intl Inc.,MGA,20,0.48,,2.43,,
2025-08-28 00:00:00,利息,0.03,"2,871.11",,,,,,0.01,,
2025-08-27 00:00:00,股息,14.74,"2,871.08",SiriusXM Holdings Inc.,SIRI,78,0.27,,6.32,,
2025-08-22 00:00:00,股息,7.98,"2,856.34","Citigroup, Inc.",C,19,0.60,,3.42,,
2025-08-21 00:00:00,股息,3.81,"2,848.36",Delta Air Lines Inc,DAL,29,0.19,,1.63,,
2025-08-20 00:00:00,股息,5.28,"2,844.55","Caterpillar, Inc.",CAT,5,1.51,,2.27,,
