日期,類型,金額,結餘,證券,股數,每股,對銷賬戶,備註
2026-01-06 00:00:00,買入,"-9,956.00","72,514.00",元大台灣高息低波,196,50.79,DAWHO,
2026-01-06 00:00:00,買入,"-8,984.00","82,470.00",凱基金,513,17.51,DAWHO,
2026-01-06 00:00:00,買入,"-4,961.00","91,454.00",元大台灣50,71,69.86,DAWHO,
2026-01-05 00:00:00,存款,"24,000.00","96,415.00",,,,,由 2026年1月5日 下午1:48 的投資計劃「存股(24000)」生成
2025-12-12 00:00:00,股息,270.00,"72,415.00",元大美債20年,"1,000",0.28,,
2025-12-08 00:00:00,買入,"-9,962.00","72,145.00",元大台灣高息低波,197,50.56,DAWHO,
2025-12-08 00:00:00,買入,"-8,987.00","82,107.00",凱基金,555,16.19,DAWHO,
2025-12-08 00:00:00,買入,"-4,949.00","91,094.00",元大台灣50,78,63.44,DAWHO,
2025-12-05 00:00:00,存款,"23,478.00","96,043.00",,,,,
2025-12-05 00:00:00,取款,"-11,739.00","72,565.00",,,,,繳汽車保費
2025-12-03 00:00:00,賣出,"62,250.00","84,304.00",元大台灣50,"1,000",62.40,DAWHO,
2025-11-14 00:00:00,股息,280.00,"22,054.00",元大美債1-3,"1,000",0.29,,
2025-11-06 00:00:00,買入,"-9,931.00","21,774.00",元大台灣高息低波,193,51.45,DAWHO,
2025-11-06 00:00:00,買入,"-8,986.00","31,705.00",凱基金,567,15.85,DAWHO,
2025-11-06 00:00:00,買入,"-4,944.00","40,691.00",元大台灣50,78,63.37,DAWHO,
2025-11-05 00:00:00,存款,"24,000.00","45,635.00",,,,,由 2025年11月5日 上午9:10 的投資計劃「存股(24000)」生成
2025-10-15 00:00:00,股息,"1,526.00","21,635.00",元大台灣高息低波,"1,968",0.78,,"國內財產交易所得(76) 258 87年以後股利或盈餘所得(54C) 1,248 資本公積 30"
2025-10-07 00:00:00,買入,"-9,961.00","20,109.00",元大台灣高息低波,194,51.34,DAWHO,
2025-10-07 00:00:00,買入,"-8,993.00","30,070.00",凱基金,599,15.01,DAWHO,
2025-10-07 00:00:00,買入,"-4,979.00","39,063.00",元大台灣50,81,61.46,DAWHO,
2025-10-06 00:00:00,存款,"24,000.00","44,042.00",,,,,由 2025年10月6日 下午11:07 的投資計劃「存股(24000)」生成
2025-10-03 00:00:00,取款,"-9,000.00","20,042.00",,,,,第四季汽車停車費
2025-09-10 00:00:00,股息,270.00,"29,042.00",元大美債20年,"1,000",0.28,,
2025-09-08 00:00:00,買入,"-7,999.00","28,772.00",凱基金,522,15.32,DAWHO,
2025-09-08 00:00:00,買入,"-7,957.00","36,771.00",元大台灣50,149,53.40,DAWHO,
2025-09-08 00:00:00,買入,"-7,956.00","44,728.00",元大台灣高息低波,154,51.66,DAWHO,
2025-09-05 00:00:00,存款,"24,000.00","52,684.00",,,,,由 2025年9月8日 下午12:13 的投資計劃「存股(24000)」生成
2025-08-08 00:00:00,股息,"7,848.00","28,684.00",中信金,"3,416",2.30,,
2025-08-08 00:00:00,股息,"2,590.00","20,836.00",元大台灣50,"7,221",0.36,,
2025-08-08 00:00:00,股息,300.00,"18,246.00",元大美債1-3,"1,000",0.31,,
2025-08-06 00:00:00,買入,"-7,989.00","17,946.00",凱基金,516,15.48,DAWHO,
2025-08-06 00:00:00,買入,"-7,956.00","25,935.00",元大台灣50,156,50.99,DAWHO,
2025-08-06 00:00:00,買入,"-7,950.00","33,891.00",元大台灣高息低波,155,51.28,DAWHO,
2025-08-05 00:00:00,存款,"24,000.00","41,841.00",,,,,由 2025年8月5日 下午1:24 的投資計劃「存股(24000)」生成
