日期,類型,金額,結餘,證券,股數,每股,對銷賬戶,備註
2025-11-07 00:00:00,賣出,"40,669.00","99,342.00",環球晶,100,408.00,犇亞,
2025-10-14 00:00:00,買入,"-23,008.00","58,673.00",台泥,"1,000",23.00,犇亞,
2025-09-11 00:00:00,股息,"2,074.00","81,681.00",威健,"1,000",2.08,,
2025-08-29 00:00:00,股息,"2,190.00","79,607.00",鑽全,"1,000",2.20,,
2025-08-28 00:00:00,股息,"6,090.00","77,417.00",中租-KY,"1,000",6.10,,
2025-08-28 00:00:00,股息,370.00,"71,327.00",中租-KY甲特,100,3.80,,
2025-08-27 00:00:00,股息,323.00,"70,957.00",中鋼,"1,000",0.33,,
2025-08-20 00:00:00,股息,990.00,"70,634.00",味全,"2,000",0.50,,
2025-08-15 00:00:00,股息,590.00,"69,644.00",環球晶,100,6.00,,
2025-07-31 00:00:00,股息,"8,924.00","69,054.00",富邦金,"2,102",4.25,,
2025-07-22 00:00:00,股息,"14,290.00","60,130.00",新光產,"2,000",7.15,,
2025-07-18 00:00:00,股息,"1,340.00","45,840.00",泰山,"1,000",1.35,,
2025-05-21 00:00:00,賣出,"32,189.00","44,500.00",全家,156,207.00,犇亞,
2025-03-28 00:00:00,買入,"-88,521.00","12,311.00",富邦金,"1,000",88.50,犇亞,
2025-03-27 00:00:00,買入,"-9,852.00","100,832.00",全家,50,197.00,犇亞,
2025-03-26 00:00:00,買入,"-1,183.00","110,684.00",全家,6,197.00,犇亞,
2025-03-12 00:00:00,買入,"-20,705.00","111,867.00",全家,100,207.00,犇亞,
2025-03-03 00:00:00,買入,"-34,808.00","132,572.00",威健,"1,000",34.80,犇亞,
2025-02-19 00:00:00,買入,"-36,008.00","167,380.00",環球晶,100,360.00,犇亞,
2024-12-06 00:00:00,賣出,"32,491.00","203,388.00",中租-KY,265,123.00,犇亞,
2024-10-08 00:00:00,買入,"-2,125.00","170,897.00",中租-KY,17,125.00,犇亞,增資
2024-08-30 00:00:00,股息,"1,990.00","173,022.00",鑽全,"1,000",2.00,,
