日期,犇亞,已投資資本（自首筆交易以來）,Delta（自首筆交易以來）
2010-04-13,"3,700.00","3,656.00",44.00
2010-04-14,"3,720.00","3,656.00",64.00
2010-04-15,"3,795.00","3,656.00",139.00
2010-04-16,"3,775.00","3,656.00",119.00
2010-04-17,"3,775.00","3,656.00",119.00
2010-04-18,"3,775.00","3,656.00",119.00
2010-04-19,"3,610.00","3,656.00",-46.00
2010-04-20,"3,695.00","3,656.00",39.00
2010-04-21,"3,665.00","3,656.00",9.00
2010-04-22,"3,665.00","3,656.00",9.00
2010-04-23,"3,650.00","3,656.00",-6.00
2010-04-24,"3,650.00","3,656.00",-6.00
2010-04-25,"3,650.00","3,656.00",-6.00
2010-04-26,"3,655.00","3,656.00",-1.00
2010-04-27,"3,590.00","3,656.00",-66.00
2010-04-28,"3,500.00","3,656.00",-156.00
2010-04-29,"3,500.00","3,656.00",-156.00
2010-04-30,"3,505.00","3,656.00",-151.00
2010-05-01,"3,505.00","3,656.00",-151.00
2010-05-02,"3,505.00","3,656.00",-151.00
2010-05-03,"3,500.00","3,656.00",-156.00
2010-05-04,"3,465.00","3,656.00",-191.00
2010-05-05,"3,385.00","3,656.00",-271.00
2010-05-06,"3,360.00","3,656.00",-296.00
2010-05-07,"3,320.00","3,656.00",-336.00
2010-05-08,"3,320.00","3,656.00",-336.00
2010-05-09,"3,320.00","3,656.00",-336.00
2010-05-10,"3,390.00","3,656.00",-266.00
2010-05-11,"3,305.00","3,656.00",-351.00
2010-05-12,"3,305.00","3,656.00",-351.00
2010-05-13,"3,385.00","3,656.00",-271.00
2010-05-14,"3,405.00","3,656.00",-251.00
2010-05-15,"3,405.00","3,656.00",-251.00
2010-05-16,"3,405.00","3,656.00",-251.00
2010-05-17,"3,330.00","3,656.00",-326.00
2010-05-18,"3,345.00","3,656.00",-311.00
2010-05-19,"3,350.00","3,656.00",-306.00
2010-05-20,"3,320.00","3,656.00",-336.00
2010-05-21,"3,220.00","3,656.00",-436.00
2010-05-22,"3,220.00","3,656.00",-436.00
2010-05-23,"3,220.00","3,656.00",-436.00
2010-05-24,"3,255.00","3,656.00",-401.00
2010-05-25,"3,230.00","3,656.00",-426.00
2010-05-26,"3,265.00","3,656.00",-391.00
2010-05-27,"3,275.00","3,656.00",-381.00
2010-05-28,"3,280.00","3,656.00",-376.00
2010-05-29,"3,280.00","3,656.00",-376.00
2010-05-30,"3,280.00","3,656.00",-376.00
2010-05-31,"3,320.00","3,656.00",-336.00
2010-06-01,"3,295.00","3,656.00",-361.00
2010-06-02,"3,265.00","3,656.00",-391.00
2010-06-03,"3,310.00","3,656.00",-346.00
2010-06-04,"3,300.00","3,656.00",-356.00
2010-06-05,"3,300.00","3,656.00",-356.00
2010-06-06,"3,300.00","3,656.00",-356.00
2010-06-07,"3,235.00","3,656.00",-421.00
2010-06-08,"3,300.00","3,656.00",-356.00
2010-06-09,"3,255.00","3,656.00",-401.00
2010-06-10,"3,330.00","3,656.00",-326.00
2010-06-11,"3,360.00","3,656.00",-296.00
2010-06-12,"3,360.00","3,656.00",-296.00
2010-06-13,"3,360.00","3,656.00",-296.00
2010-06-14,"3,385.00","3,656.00",-271.00
2010-06-15,"3,460.00","3,656.00",-196.00
2010-06-16,"3,460.00","3,656.00",-196.00
2010-06-17,"3,490.00","3,656.00",-166.00
2010-06-18,"3,465.00","3,656.00",-191.00
2010-06-19,"3,465.00","3,656.00",-191.00
2010-06-20,"3,465.00","3,656.00",-191.00
2010-06-21,"3,520.00","3,656.00",-136.00
2010-06-22,"3,525.00","3,656.00",-131.00
2010-06-23,"3,555.00","3,656.00",-101.00
2010-06-24,"3,565.00","3,656.00",-91.00
2010-06-25,"3,575.00","3,656.00",-81.00
2010-06-26,"3,575.00","3,656.00",-81.00
2010-06-27,"3,575.00","3,656.00",-81.00
2010-06-28,"3,610.00","3,656.00",-46.00
2010-06-29,"3,555.00","3,656.00",-101.00
2010-06-30,"3,560.00","3,656.00",-96.00
2010-07-01,"3,560.00","3,656.00",-96.00
2010-07-02,"3,690.00","3,656.00",34.00
2010-07-03,"3,690.00","3,656.00",34.00
2010-07-04,"3,690.00","3,656.00",34.00
2010-07-05,"3,770.00","3,656.00",114.00
2010-07-06,"3,760.00","3,656.00",104.00
2010-07-07,"3,715.00","3,656.00",59.00
2010-07-08,"3,745.00","3,656.00",89.00
2010-07-09,"3,740.00","3,656.00",84.00
2010-07-10,"3,740.00","3,656.00",84.00
2010-07-11,"3,740.00","3,656.00",84.00
2010-07-12,"3,725.00","3,656.00",69.00
2010-07-13,"3,710.00","3,656.00",54.00
2010-07-14,"3,750.00","3,656.00",94.00
2010-07-15,"3,750.00","3,656.00",94.00
2010-07-16,"3,710.00","3,656.00",54.00
2010-07-17,"3,710.00","3,656.00",54.00
2010-07-18,"3,710.00","3,656.00",54.00
2010-07-19,"3,730.00","3,656.00",74.00
2010-07-20,"3,755.00","3,656.00",99.00
2010-07-21,"3,745.00","3,656.00",89.00
2010-07-22,"3,730.00","3,656.00",74.00
2010-07-23,"3,750.00","3,656.00",94.00
2010-07-24,"3,750.00","3,656.00",94.00
2010-07-25,"3,750.00","3,656.00",94.00
2010-07-26,"3,755.00","3,656.00",99.00
2010-07-27,"3,750.00","3,656.00",94.00
2010-07-28,"3,825.00","3,656.00",169.00
2010-07-29,"3,870.00","3,656.00",214.00
2010-07-30,"3,805.00","3,656.00",149.00
2010-07-31,"3,805.00","3,656.00",149.00
2010-08-01,"3,805.00","3,656.00",149.00
2010-08-02,"3,840.00","3,656.00",184.00
2010-08-03,"3,875.00","3,656.00",219.00
2010-08-04,"3,930.00","3,656.00",274.00
2010-08-05,"3,870.00","3,656.00",214.00
2010-08-06,"3,950.00","3,656.00",294.00
2010-08-07,"3,950.00","3,656.00",294.00
2010-08-08,"3,950.00","3,656.00",294.00
2010-08-09,"3,950.00","3,656.00",294.00
2010-08-10,"3,950.00","3,656.00",294.00
2010-08-11,"3,915.00","3,656.00",259.00
2010-08-12,"3,500.00","3,656.00",-156.00
2010-08-13,"3,535.00","3,656.00",-121.00
2010-08-14,"3,535.00","3,656.00",-121.00
2010-08-15,"3,535.00","3,656.00",-121.00
2010-08-16,"3,565.00","3,656.00",-91.00
2010-08-17,"3,810.00","3,656.00",154.00
2010-08-18,"3,740.00","3,656.00",84.00
2010-08-19,"3,770.00","3,656.00",114.00
2010-08-20,"3,730.00","3,656.00",74.00
2010-08-21,"3,730.00","3,656.00",74.00
2010-08-22,"3,730.00","3,656.00",74.00
2010-08-23,"3,710.00","3,656.00",54.00
2010-08-24,"3,705.00","3,656.00",49.00
2010-08-25,"3,600.00","3,656.00",-56.00
2010-08-26,"3,515.00","3,656.00",-141.00
2010-08-27,"3,560.00","3,656.00",-96.00
2010-08-28,"3,560.00","3,656.00",-96.00
2010-08-29,"3,560.00","3,656.00",-96.00
2010-08-30,"3,715.00","3,656.00",59.00
2010-08-31,"3,705.00","3,656.00",49.00
